type;category;sub_category;date_of_transaction;description;comment;recurrence;units_of_recurrence;interval_of_recurrence;recurrence_end_date;amount;;;;;;;;;;;;;
Expense;Clothing;;05/02/2023;Winter Wardrobe;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Clothing;;18/04/2023;Spring Fashion;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Clothing;;22/06/2023;Summer Apparel;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Clothing;;30/08/2023;Back-to-School Shopping;;FALSE;months;1;;180;;;;;;;;;;;;;
Expense;Clothing;;15/10/2023;Fall Wardrobe;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Debt Payments;;30/01/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;28/02/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/03/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/04/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/05/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/06/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/07/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/08/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/09/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/10/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/11/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/12/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/01/2024;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;29/02/2024;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Entertainment;;10/01/2023;Movie Night;;FALSE;months;1;;45,37;;;;;;;;;;;;;
Expense;Entertainment;;05/02/2023;Concert Tickets;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Entertainment;;20/03/2023;Amusement Park Visit;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Entertainment;;15/04/2023;Theater Show;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Entertainment;;12/05/2023;Video Games;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Entertainment;;25/06/2023;Mini Golf;;FALSE;months;1;;95;;;;;;;;;;;;;
Expense;Entertainment;;18/07/2023;Sports Event;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Entertainment;;10/08/2023;Bowling Night;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Entertainment;;22/09/2023;Escape Room;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Entertainment;;19/10/2023;Museum Visit;;FALSE;months;1;;35;;;;;;;;;;;;;
Expense;Entertainment;;14/11/2023;Karaoke Night;;FALSE;months;1;;67;;;;;;;;;;;;;
Expense;Entertainment;;30/12/2023;Comedy Club;;FALSE;months;1;;45;;;;;;;;;;;;;
Expense;Entertainment;;08/01/2024;Arcade Games;;FALSE;months;1;;65;;;;;;;;;;;;;
Expense;Entertainment;;14/02/2024;Theme Park;;FALSE;months;1;;170;;;;;;;;;;;;;
Expense;Entertainment;;29/02/2024;Leap Year Celebration;;FALSE;months;1;;65;;;;;;;;;;;;;
Expense;Furniture;;08/01/2023;Living Room Furniture;;FALSE;months;1;;350;;;;;;;;;;;;;
Expense;Furniture;;20/02/2023;Bedroom Set;;FALSE;months;1;;400,13;;;;;;;;;;;;;
Expense;Furniture;;19/03/2023;Dining Table and Chairs;;FALSE;months;1;;300;;;;;;;;;;;;;
Expense;Furniture;;28/04/2023;Home Decor;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Furniture;;15/05/2023;Kitchen Appliances;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Furniture;;05/06/2023;Outdoor Furniture;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Gifts;;15/01/2023;Birthday Gift;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Gifts;;08/03/2023;Anniversary Present;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Gifts;;20/05/2023;Wedding Gift;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Gifts;;12/07/2023;Special Occasion Gift;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Gifts;;05/09/2023;Holiday Gift;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Gifts;;11/11/2023;Christmas Presents;;FALSE;months;1;;55;;;;;;;;;;;;;
Expense;Groceries;;01/01/2023;;;FALSE;months;1;;115;;;;;;;;;;;;;
Expense;Groceries;;11/01/2023;;;FALSE;months;1;;145;;;;;;;;;;;;;
Expense;Groceries;;21/01/2023;;;FALSE;months;1;;167;;;;;;;;;;;;;
Expense;Groceries;;31/01/2023;;;FALSE;months;1;;126;;;;;;;;;;;;;
Expense;Groceries;;10/02/2023;;;FALSE;months;1;;173;;;;;;;;;;;;;
