type;category;sub_category;date_of_transaction;description;comment;recurrence;units_of_recurrence;interval_of_recurrence;recurrence_end_date;amount;
Expense;Groceries;;01/01/2023;;;FALSE;months;1;;115;
Income;Jordan's Income;;01/01/2023;Monthly salary;;FALSE;months;1;;2610;
Income;Personal Share of Income;;01/01/2023;;;FALSE;months;1;;290;
Expense;Housing;;01/01/2023;Rent;;FALSE;months;1;;1000;
Income;Riley's Income;;01/01/2023;Monthly salary;;FALSE;months;1;;2160;
Expense;Transportation;;03/01/2023;Taxi Rides;;FALSE;months;1;;91;
Expense;Miscellaneous;;05/01/2023;Shopping Spree;;FALSE;months;1;;35;
Expense;Furniture;;08/01/2023;Living Room Furniture;;FALSE;months;1;;350;
Expense;Treats;;08/01/2023;Dessert Night;;FALSE;months;1;;30;
Expense;Entertainment;;10/01/2023;Movie Night;;FALSE;months;1;;45;
Expense;Restaurant;;10/01/2023;Dinner at ABC Restaurant;;FALSE;months;1;;50;
Expense;Groceries;;11/01/2023;;;FALSE;months;1;;145;
Expense;Utilities;;12/01/2023;;;FALSE;months;1;;142;
Expense;Gifts;;15/01/2023;Birthday Gift;;FALSE;months;1;;90;
Expense;Pet;;15/01/2023;Pet Supplies;;FALSE;months;1;;50;
Expense;Groceries;;21/01/2023;;;FALSE;months;1;;167;
Expense;Hobby;;25/01/2023;Art Supplies;;FALSE;months;1;;100;
Expense;Debt Payments;;30/01/2023;;;FALSE;months;1;;214;
Expense;Groceries;;31/01/2023;;;FALSE;months;1;;126;
Income;Jordan's Income;;01/02/2023;Monthly salary;;FALSE;months;1;;2610;
Income;Personal Share of Income;;01/02/2023;;;FALSE;months;1;;290;
Expense;Housing;;01/02/2023;Rent;;FALSE;months;1;;1000;
Income;Riley's Income;;01/02/2023;Monthly salary;;FALSE;months;1;;2160;
Expense;Clothing;;05/02/2023;Winter Wardrobe;;FALSE;months;1;;200;
Expense;Entertainment;;05/02/2023;Concert Tickets;;FALSE;months;1;;150;
Expense;Restaurant;;05/02/2023;Lunch with Friends;;FALSE;months;1;;50;
Expense;Pet;;08/02/2023;Veterinary Visit;;FALSE;months;1;;175;
Expense;Groceries;;10/02/2023;;;FALSE;months;1;;173;
Expense;Transportation;;10/02/2023;Public Transit Pass;;FALSE;months;1;;68;
Expense;Miscellaneous;;12/02/2023;Home Decor;;FALSE;months;1;;10;
Expense;Utilities;;12/02/2023;;;FALSE;months;1;;142;
Expense;Healthcare;;15/02/2023;Pharmacy Essentials;;FALSE;months;1;;60;
Expense;Furniture;;20/02/2023;Bedroom Set;;FALSE;months;1;;400;
Expense;Groceries;;20/02/2023;;;FALSE;months;1;;102;
Expense;Party;;20/02/2023;Birthday Celebration;;FALSE;months;1;;100;
Expense;Debt Payments;;28/02/2023;;;FALSE;months;1;;214;
Income;Investment Income;;01/03/2023;;;FALSE;months;1;;200;
Income;Jordan's Income;;01/03/2023;Monthly salary;;FALSE;months;1;;2610;
Income;Personal Share of Income;;01/03/2023;;;FALSE;months;1;;290;
Expense;Housing;;01/03/2023;Rent;;FALSE;months;1;;1000;
Income;Riley's Income;;01/03/2023;Monthly salary;;FALSE;months;1;;2160;
Expense;Groceries;;02/03/2023;;;FALSE;months;1;;155;
Expense;Subscriptions;;03/03/2023;Streaming Service;;FALSE;months;1;;15;
Expense;Transportation;;04/03/2023;Uber Rides;;FALSE;months;1;;50;
Expense;Gifts;;08/03/2023;Anniversary Present;;FALSE;months;1;;120;
Expense;Hobby;;10/03/2023;Hobby Workshop;;FALSE;months;1;;250;
Expense;Groceries;;12/03/2023;;;FALSE;months;1;;192;
Expense;Utilities;;12/03/2023;;;FALSE;months;1;;142;
Expense;Transportation;;18/03/2023;Uber Rides;;FALSE;months;1;;54;
Expense;Furniture;;19/03/2023;Dining Table and Chairs;;FALSE;months;1;;300;
Expense;Entertainment;;20/03/2023;Amusement Park Visit;;FALSE;months;1;;75;
Expense;Restaurant;;20/03/2023;Date Night at XYZ Bistro;;FALSE;months;1;;70;
Expense;Groceries;;22/03/2023;;;FALSE;months;1;;141;
Expense;Treats;;22/03/2023;Sweet Treats;;FALSE;months;1;;50;
Expense;Pet;;23/03/2023;Pet Food;;FALSE;months;1;;70;
Expense;Miscellaneous;;28/03/2023;Gadgets;;FALSE;months;1;;35;
Expense;Debt Payments;;30/03/2023;;;FALSE;months;1;;214;
Expense;Groceries;;01/04/2023;;;FALSE;months;1;;148;
Income;Jordan's Income;;01/04/2023;Monthly salary;;FALSE;months;1;;2610;
Income;Personal Share of Income;;01/04/2023;;;FALSE;months;1;;290;
Expense;Housing;;01/04/2023;Rent;;FALSE;months;1;;1000;
Income;Riley's Income;;01/04/2023;Monthly salary;;FALSE;months;1;;2160;
Expense;Healthcare;;05/04/2023;Dental Checkup;;FALSE;months;1;;100;
Expense;Miscellaneous;;10/04/2023;Miscellaneous Expenses;;FALSE;months;1;;80;
Expense;Groceries;;11/04/2023;;;FALSE;months;1;;162;
Expense;Transportation;;11/04/2023;Bicycle Maintenance;;FALSE;months;1;;20;
Expense;Utilities;;12/04/2023;;;FALSE;months;1;;142;
Expense;Party;;14/04/2023;Housewarming Party;;FALSE;months;1;;80;
Expense;Pet;;14/04/2023;Grooming;;FALSE;months;1;;60;
Expense;Entertainment;;15/04/2023;Theater Show;;FALSE;months;1;;150;
Expense;Restaurant;;15/04/2023;Family Dinner;;FALSE;months;1;;40;
Expense;Clothing;;18/04/2023;Spring Fashion;;FALSE;months;1;;150;
Expense;Groceries;;21/04/2023;;;FALSE;months;1;;157;
